mRNA/gene pair,Ensembl IDs,Caov3,COV362,TYK-nu,OVCAR-4,SNU-119,FU-OV-1,IGROV-1,HEY A8,JHOS-2,NIHOVCAR3,OV56 ,OVSAHO,RMUG-S,OV-90,A2780,KURAMOCHI,OVCAR-8
NUDT8,ENSG00000170502,541.813,548.106,875.86,243.989,626.701,545.449,29.1808,94.6196,241.472,125.175,223.858,197.407,189.647,145.696,331.336,444.441,652.681
MRPL48,ENSG00000142599,2080.41,2270.57,1498.22,863.724,500.381,933.38,1587.9,555.029,163.999,245.135,266.962,323.947,404.781,436.573,1323.13,1425.71,190.727
MRPL47,ENSG00000108588,1904.08,1831.43,3464.89,773.752,1928.67,2189.07,2202.72,700.954,1636.62,2085.88,478.574,1005.04,1281.82,1829.67,1478.08,891.139,476.647
TSEN34,ENSG00000107537,1049.77,510.31,805.773,360.149,460.646,472.998,100.391,1821.66,1608.3,3818.18,554.526,210.147,1191.42,715.947,1180.43,494.383,624.13
PIN4,ENSG00000076554,875.404,515.602,1124.54,531.945,388.585,147.568,89.7534,4271.36,1665.84,386.536,271.969,610.733,1463.88,307.167,879.074,113.111,1166.79
ASH2L,ENSG00000061794,2744.74,1941.1,3360.32,1828.22,3034.55,3703.8,3261.22,2645.04,1332.25,3803.59,1359.68,1867.22,3976.8,2800.61,3595.69,4040.88,4994.56
USP19,ENSG00000136231,2071.71,1627.34,1362.53,258.867,888.251,354.537,2373.54,805.211,1326.25,1040.66,410.737,326.847,1169.98,822.355,1509.23,689.446,726.181
ALG1,ENSG00000177971,1671.57,950.966,1968.7,1134.68,600.189,780.54,1236.1,552.959,852.999,846.963,598.387,468.658,676.113,464.55,1446.97,509.265,661.574
NUDT9,ENSG00000130725,1474.7,1096.02,1072.11,1552.48,936.98,2484.63,1099.75,2453.49,687.005,1105.82,1042.09,1486.27,1508.28,7866.24,4298.47,3260,3470.3
RERE,ENSG00000172380,770.665,423.949,372.095,609.826,1515.92,2084.34,1278.32,955.668,778.784,2949.02,417.529,937.182,1034.54,1095.47,1792.68,2054.63,780.142
CCDC47,ENSG00000075618,3754.87,3391.18,3176.51,2090.81,5735.88,2830.81,4656.06,1231.99,1947.4,4252.65,1950.08,942.724,2529.49,3451.23,3050.17,1792.3,1578.09
PHYH,ENSG00000066583,1137.32,793.704,1068.07,916.039,1152.63,582.861,807.47,839.875,581.535,835.66,425.213,1120.21,525.216,258.426,792.078,309.826,479.848
TPD52,ENSG00000168564,3240.23,935.759,1058.53,1604,648.128,364.839,711.306,1320.49,1192.43,931.534,1445.7,210.803,468.866,900.593,1186.59,487.563,3333.5
MRPS28,ENSG00000122694,1315.34,1096.06,855.108,1161.36,888.632,2317.73,1497.23,1868.93,427.062,914.919,675.355,1302.17,400.091,1725.68,1542.67,3843.55,1124.38
IMP3,ENSG00000143353,192.595,566.072,1017.19,777.908,509.539,599.711,1456.8,1029.09,402.464,553.72,728.556,992.222,800.282,554.646,416.357,913.863,201.673
UBE2M,ENSG00000149636,3026.75,1820.92,2154.84,1829.86,599.076,1111.06,1149.2,1587.27,597.915,386.708,675.306,234.188,1491.9,1491.1,4288.48,499.67,2587.92
GNG12,ENSG00000106524,1335.69,517.229,708.707,3964.72,590.194,368.016,412.082,1197.01,2582.21,1361.72,1128.73,668.94,967.762,268.051,354.756,862.258,773.309
FSCN1,ENSG00000140939,6136.37,5966.13,18835,3383.48,369.087,1649.24,2026.85,6944.42,1826.97,1359.05,1185.5,858.477,2305.01,874.565,5462.96,1205.02,11045.5
ISOC1,ENSG00000130204,1230.83,187.977,1236.44,284.414,832.758,142.401,633.96,712.56,1338.51,528.943,694.045,117.453,1226.44,1164.46,627.901,93.2261,863.481
